phone_id,number,owner_id
PH-00001,+91-7208780056,P-00001
PH-00002,+91-8266234685,P-00001
PH-00003,+91-7355953101,P-00002
PH-00004,+91-8866169183,P-00002
PH-00005,+91-7305532468,P-00003
PH-00006,+91-9211482470,P-00004
PH-00007,+91-7105089084,P-00005
PH-00008,+91-7087934470,P-00006
PH-00009,+91-7652019108,P-00006
PH-00010,+91-7930036986,P-00007
PH-00011,+91-7763648155,P-00007
PH-00012,+91-8489817530,P-00008
PH-00013,+91-8699111447,P-00009
PH-00014,+91-8070763852,P-00010
PH-00015,+91-7514524515,P-00011
PH-00016,+91-7423180313,P-00011
PH-00017,+91-8567119012,P-00012
PH-00018,+91-8274637063,P-00012
PH-00019,+91-9852236958,P-00013
PH-00020,+91-8416297135,P-00014
PH-00021,+91-7520289129,P-00015
PH-00022,+91-8884450673,P-00015
PH-00023,+91-8646599762,P-00016
PH-00024,+91-7902536437,P-00017
PH-00025,+91-7024328702,P-00017
PH-00026,+91-7209662328,P-00018
PH-00027,+91-8981942353,P-00018
PH-00028,+91-9982884609,P-00019
PH-00029,+91-8507970646,P-00020
PH-00030,+91-8887815122,P-00020
PH-00031,+91-7943494711,P-00021
PH-00032,+91-8136348987,P-00022
PH-00033,+91-8281590350,P-00022
PH-00034,+91-8360042654,P-00023
PH-00035,+91-9949090967,P-00024
PH-00036,+91-8500260418,P-00025
PH-00037,+91-9984696386,P-00025
PH-00038,+91-9288984529,P-00026
PH-00039,+91-8289515723,P-00027
PH-00040,+91-9901730700,P-00028
PH-00041,+91-9891992324,P-00029
PH-00042,+91-9184518748,P-00030
PH-00043,+91-9977774682,P-00031
PH-00044,+91-9496482459,P-00032
PH-00045,+91-7397258330,P-00032
PH-00046,+91-9475223791,P-00033
PH-00047,+91-8343869105,P-00034
PH-00048,+91-7828237180,P-00035
PH-00049,+91-8514413501,P-00036
PH-00050,+91-9093498555,P-00037
PH-00051,+91-8248955043,P-00038
PH-00052,+91-9444362342,P-00038
PH-00053,+91-8299814951,P-00039
PH-00054,+91-7821125031,P-00040
PH-00055,+91-8071897856,P-00041
PH-00056,+91-8588470470,P-00042
PH-00057,+91-7223520819,P-00042
PH-00058,+91-9338267373,P-00043
PH-00059,+91-8542646587,P-00044
PH-00060,+91-7558912367,P-00045
PH-00061,+91-7580748554,P-00046
PH-00062,+91-8751961229,P-00047
PH-00063,+91-7254298000,P-00048
PH-00064,+91-9219645815,P-00049
PH-00065,+91-8443956935,P-00050
PH-00066,+91-7709914514,P-00051
PH-00067,+91-8448516259,P-00052
PH-00068,+91-8279950412,P-00053
PH-00069,+91-7171788407,P-00054
PH-00070,+91-7015216378,P-00054
PH-00071,+91-9513636442,P-00055
PH-00072,+91-7818259105,P-00055
PH-00073,+91-7655321978,P-00056
PH-00074,+91-8381713662,P-00057
PH-00075,+91-8104635185,P-00058
PH-00076,+91-7722722661,P-00059
PH-00077,+91-9372431895,P-00060
PH-00078,+91-8362177174,P-00061
PH-00079,+91-9672652879,P-00062
PH-00080,+91-8841792154,P-00063
PH-00081,+91-9046937147,P-00064
PH-00082,+91-8402025834,P-00065
PH-00083,+91-7761538020,P-00065
PH-00084,+91-8168452384,P-00066
PH-00085,+91-7049162709,P-00067
PH-00086,+91-7039261011,P-00068
PH-00087,+91-8503338848,P-00069
PH-00088,+91-9156046497,P-00070
PH-00089,+91-7143918825,P-00071
PH-00090,+91-8347049522,P-00072
PH-00091,+91-7333680278,P-00073
PH-00092,+91-9592884606,P-00073
PH-00093,+91-7825522418,P-00074
PH-00094,+91-9067260930,P-00075
PH-00095,+91-8088032980,P-00076
PH-00096,+91-9790397342,P-00077
PH-00097,+91-7221253922,P-00078
PH-00098,+91-7057889761,P-00078
PH-00099,+91-8252976981,P-00079
PH-00100,+91-9099040464,P-00079
PH-00101,+91-7762212780,P-00080
PH-00102,+91-8012040984,P-00081
PH-00103,+91-9481341922,P-00082
PH-00104,+91-9030820405,P-00082
PH-00105,+91-7450759089,P-00083
PH-00106,+91-7971936478,P-00084
PH-00107,+91-7496959250,P-00084
PH-00108,+91-9103814968,P-00085
PH-00109,+91-9376688390,P-00086
PH-00110,+91-9422353082,P-00087
PH-00111,+91-7439946454,P-00087
PH-00112,+91-9108915191,P-00088
PH-00113,+91-9123547808,P-00089
PH-00114,+91-9459413105,P-00089
PH-00115,+91-9775253420,P-00090
PH-00116,+91-7793836976,P-00091
PH-00117,+91-9970897163,P-00092
PH-00118,+91-9626139156,P-00093
PH-00119,+91-8708752157,P-00094
PH-00120,+91-7601467981,P-00094
PH-00121,+91-7211774440,P-00095
PH-00122,+91-7630616829,P-00096
PH-00123,+91-7669126457,P-00097
PH-00124,+91-7569187677,P-00098
PH-00125,+91-7774376509,P-00099
PH-00126,+91-8396771220,P-00100
PH-00127,+91-7537935891,P-00101
PH-00128,+91-8389433125,P-00102
PH-00129,+91-7993247401,P-00103
PH-00130,+91-9082736398,P-00104
PH-00131,+91-7890873068,P-00104
PH-00132,+91-8178262198,P-00105
PH-00133,+91-7549771697,P-00106
PH-00134,+91-8446365403,P-00106
PH-00135,+91-9491430431,P-00107
PH-00136,+91-9685673176,P-00107
PH-00137,+91-9496659993,P-00108
PH-00138,+91-9798520909,P-00109
PH-00139,+91-9486649351,P-00109
PH-00140,+91-8811533029,P-00110
PH-00141,+91-8246670771,P-00111
PH-00142,+91-8486347122,P-00112
PH-00143,+91-8842089432,P-00113
PH-00144,+91-8575619429,P-00113
PH-00145,+91-7447771506,P-00114
PH-00146,+91-7507034854,P-00115
PH-00147,+91-7042075627,P-00116
PH-00148,+91-8610363025,P-00117
PH-00149,+91-8293158908,P-00118
PH-00150,+91-8258474166,P-00118
PH-00151,+91-9100587110,P-00119
PH-00152,+91-8339515089,P-00120
PH-00153,+91-8260984135,P-00121
PH-00154,+91-7636467186,P-00122
PH-00155,+91-9527255688,P-00123
PH-00156,+91-9080758258,P-00124
PH-00157,+91-9282117563,P-00124
PH-00158,+91-8389442347,P-00125
PH-00159,+91-7794172616,P-00125
PH-00160,+91-9664457371,P-00126
PH-00161,+91-9285497251,P-00127
PH-00162,+91-7856389355,P-00128
PH-00163,+91-9231729315,P-00129
PH-00164,+91-7833242429,P-00129
PH-00165,+91-7040425300,P-00130
PH-00166,+91-9111560377,P-00131
PH-00167,+91-9313686829,P-00132
PH-00168,+91-9952320531,P-00132
PH-00169,+91-9870465436,P-00133
PH-00170,+91-9718965950,P-00134
PH-00171,+91-9267049612,P-00135
PH-00172,+91-8920450367,P-00136
PH-00173,+91-9404963950,P-00136
PH-00174,+91-7358093385,P-00137
PH-00175,+91-9668028705,P-00138
PH-00176,+91-9453437462,P-00139
PH-00177,+91-9290550383,P-00140
PH-00178,+91-7021032072,P-00140
PH-00179,+91-7005122697,P-00141
PH-00180,+91-7228864767,P-00141
PH-00181,+91-9144747793,P-00142
PH-00182,+91-9402066485,P-00142
PH-00183,+91-7578059106,P-00143
PH-00184,+91-9307027607,P-00144
PH-00185,+91-8594033853,P-00145
PH-00186,+91-8476784329,P-00146
PH-00187,+91-7608236337,P-00147
PH-00188,+91-9457333950,P-00148
PH-00189,+91-7849863581,P-00149
PH-00190,+91-9054091844,P-00150
PH-00191,+91-7357893418,P-00150
PH-00192,+91-7261548420,P-00151
PH-00193,+91-8237726342,P-00152
PH-00194,+91-7210554846,P-00153
PH-00195,+91-8919040773,P-00154
PH-00196,+91-8589898185,P-00155
PH-00197,+91-9492123213,P-00155
PH-00198,+91-7200044875,P-00156
PH-00199,+91-9180186342,P-00157
PH-00200,+91-7317337665,P-00158
PH-00201,+91-8230989034,P-00159
PH-00202,+91-8592272027,P-00160
PH-00203,+91-8980466289,P-00161
PH-00204,+91-8214999372,P-00162
PH-00205,+91-8032941404,P-00163
PH-00206,+91-9179362228,P-00164
PH-00207,+91-9001417502,P-00165
PH-00208,+91-8166653287,P-00165
PH-00209,+91-7010169889,P-00166
PH-00210,+91-9376428201,P-00167
PH-00211,+91-7084188893,P-00167
PH-00212,+91-9847579550,P-00168
PH-00213,+91-9291342576,P-00169
PH-00214,+91-8480891048,P-00170
PH-00215,+91-8687264149,P-00171
PH-00216,+91-9163434633,P-00171
PH-00217,+91-9090852229,P-00172
PH-00218,+91-9076757212,P-00173
PH-00219,+91-9646252667,P-00174
PH-00220,+91-7765389529,P-00175
PH-00221,+91-8587762450,P-00175
PH-00222,+91-8141466087,P-00176
PH-00223,+91-9157223166,P-00177
PH-00224,+91-9406060444,P-00177
PH-00225,+91-8989535569,P-00178
PH-00226,+91-9850378164,P-00179
PH-00227,+91-7418975264,P-00180
PH-00228,+91-7987498219,P-00181
PH-00229,+91-7550668495,P-00182
PH-00230,+91-7379073198,P-00182
PH-00231,+91-7797437740,P-00183
PH-00232,+91-9468296474,P-00184
PH-00233,+91-7345667002,P-00185
PH-00234,+91-7525052795,P-00186
PH-00235,+91-9511046747,P-00187
PH-00236,+91-7722143767,P-00187
PH-00237,+91-9940997897,P-00188
PH-00238,+91-7403397225,P-00188
PH-00239,+91-8751593040,P-00189
PH-00240,+91-7296353620,P-00190
PH-00241,+91-9857139334,P-00190
PH-00242,+91-9110254987,P-00191
PH-00243,+91-9982460023,P-00192
PH-00244,+91-9142794161,P-00192
PH-00245,+91-9649140587,P-00193
PH-00246,+91-7732543959,P-00193
PH-00247,+91-7953421492,P-00194
PH-00248,+91-7292054595,P-00195
PH-00249,+91-9439925218,P-00196
PH-00250,+91-7417551074,P-00197
PH-00251,+91-8890410220,P-00198
PH-00252,+91-8018418111,P-00198
PH-00253,+91-9775860875,P-00199
PH-00254,+91-8047457844,P-00200
PH-00255,+91-9613399037,P-00200
PH-00256,+91-8703196998,P-00201
PH-00257,+91-7349261814,P-00202
PH-00258,+91-8763870372,P-00203
PH-00259,+91-7474148905,P-00204
PH-00260,+91-8637899126,P-00205
PH-00261,+91-7483088835,P-00206
PH-00262,+91-7928629119,P-00206
PH-00263,+91-8962451961,P-00207
PH-00264,+91-8646126182,P-00208
PH-00265,+91-9777685231,P-00209
PH-00266,+91-9067938272,P-00210
PH-00267,+91-8622048206,P-00210
PH-00268,+91-7192753665,P-00211
PH-00269,+91-7500337605,P-00211
PH-00270,+91-9295016889,P-00212
PH-00271,+91-9807473898,P-00213
PH-00272,+91-7980096409,P-00214
PH-00273,+91-9989630865,P-00214
PH-00274,+91-8795461417,P-00215
PH-00275,+91-8384298853,P-00216
PH-00276,+91-8141361296,P-00217
PH-00277,+91-8281419414,P-00217
PH-00278,+91-7925235571,P-00218
PH-00279,+91-7318827157,P-00219
PH-00280,+91-8059786072,P-00219
PH-00281,+91-9784649855,P-00220
PH-00282,+91-9145131455,P-00221
PH-00283,+91-8891228030,P-00221
PH-00284,+91-9280573234,P-00222
PH-00285,+91-7953828982,P-00222
PH-00286,+91-7714735644,P-00223
PH-00287,+91-8186985455,P-00224
PH-00288,+91-9222729346,P-00225
PH-00289,+91-8399599056,P-00226
PH-00290,+91-9757932049,P-00226
PH-00291,+91-7314756607,P-00227
PH-00292,+91-7588616877,P-00228
PH-00293,+91-7384577559,P-00228
PH-00294,+91-8944466861,P-00229
PH-00295,+91-9054462952,P-00230
PH-00296,+91-7111325571,P-00231
PH-00297,+91-8299774045,P-00232
PH-00298,+91-9254388139,P-00233
PH-00299,+91-9139059200,P-00234
PH-00300,+91-9548470774,P-00235
PH-00301,+91-7901892881,P-00236
PH-00302,+91-9140368342,P-00236
PH-00303,+91-7038025728,P-00237
PH-00304,+91-7270725997,P-00238
PH-00305,+91-9101797659,P-00239
PH-00306,+91-9976976813,P-00239
PH-00307,+91-7075486919,P-00240
PH-00308,+91-7896922393,P-00241
PH-00309,+91-9602987709,P-00241
PH-00310,+91-8258173463,P-00242
PH-00311,+91-7977684897,P-00243
PH-00312,+91-7410323033,P-00243
PH-00313,+91-7208080452,P-00244
PH-00314,+91-8328112588,P-00245
PH-00315,+91-8822080309,P-00246
PH-00316,+91-9567279479,P-00246
PH-00317,+91-7209478013,P-00247
PH-00318,+91-9743186640,P-00247
